Date,Last Px,P/C
8/15/16,10.76,0.7107
8/12/16,10.5,0.6979
8/11/16,10.21,1.1754
8/10/16,9.77,0.7673
8/9/16,10.07,0.635
8/8/16,10.1,0.5717
8/5/16,9.86,1.0544
8/4/16,9.84,0.545
8/3/16,9.69,0.8293
8/2/16,9.33,1.7967
8/1/16,9.41,1.8663
7/29/16,9.76,1.0651
7/28/16,9.67,1.1912
7/27/16,9.9,1.6009
7/26/16,10.08,0.8504
7/25/16,10.13,1.762
7/22/16,10.42,1.3849
7/21/16,10.49,3.4889
7/20/16,10.73,0.7607
7/19/16,10.7,1.309
7/18/16,10.82,0.9726
7/15/16,10.99,0.763
7/14/16,10.87,0.98
7/13/16,10.75,1.0114
7/12/16,11.19,1.0343
7/11/16,10.65,0.7862
7/8/16,10.83,1.0485
7/7/16,10.82,1.3977
7/6/16,11.33,1.1307
7/5/16,11.18,2.6183
7/1/16,11.78,1.4625
6/30/16,11.57,0.8358
6/29/16,11.79,0.67
6/28/16,11.47,0.7364
6/27/16,11.19,3.4663
6/24/16,11.4,1.5401
6/23/16,11.98,0.9609
6/22/16,11.74,1.2779
6/21/16,11.89,1.4694
6/20/16,11.91,0.4928
6/17/16,11.66,0.5508
6/16/16,11.14,3.7756
6/15/16,11.47,2.4107
6/14/16,11.73,0.8907
6/13/16,11.76,1.0048
6/10/16,11.87,1.6123
6/9/16,12.25,2.8398
6/8/16,12.43,0.7119
6/7/16,12.22,0.5888
6/6/16,12.04,0.6698
6/3/16,11.82,0.9806
6/2/16,11.86,1.7052
6/1/16,11.93,1.6274
5/31/16,11.87,0.9242
5/27/16,11.98,1.8711
5/26/16,11.95,1.6151
5/25/16,12.03,1.0704
5/24/16,11.82,2.8972
5/23/16,11.66,1.3265
5/20/16,11.75,1.3237
5/19/16,11.79,1.2953
5/18/16,11.7,0.7536
5/17/16,11.92,1.0538
5/16/16,11.76,1.2614
5/13/16,11.37,1.4028
5/12/16,11.45,0.8248
5/11/16,11.34,0.8859
5/10/16,10.99,1.4678
5/9/16,10.68,1.3627
5/6/16,10.96,0.796
5/5/16,10.9,0.6912
5/4/16,10.79,1.6682
5/3/16,10.74,1.3306
5/2/16,11.05,2.6441
4/29/16,11.3,1.3514
4/28/16,11.22,0.8451
4/27/16,11.14,0.6775
4/26/16,10.81,1.0318
4/25/16,10.55,2.0205
4/22/16,10.76,1.1302
4/21/16,10.72,1.0631
4/20/16,10.76,1.1724
4/19/16,10.44,1.2377
4/18/16,10.17,1.085
4/15/16,10.25,1.5711
4/14/16,10.48,1.4957
4/13/16,10.51,1.2486
4/12/16,10.64,0.8202
4/11/16,10.28,0.9603
4/8/16,10.03,0.6553
4/7/16,9.51,0.9567
4/6/16,9.6,1.0116
4/5/16,9.13,1.3994
4/4/16,9.08,1.7099
4/1/16,9.3292,1.5932
3/31/16,9.7,2.6133
3/30/16,9.73,0.8184
3/29/16,9.8,0.8177
3/28/16,10.01,1.0682
3/24/16,10.06,1.6718
3/23/16,10.11,1.7185
3/22/16,10.54,3.9196
3/21/16,10.59,1.4212
3/18/16,10.48,0.7253
3/17/16,10.55,0.752
3/16/16,10.18,1.2711
3/15/16,9.7,1.9593
3/14/16,9.88,0.7371
3/11/16,10.19,0.6283
3/10/16,10.04,0.7033
3/9/16,10.15,1.0442
3/8/16,9.65,1.3879
3/7/16,10.11,0.2752
3/4/16,9.65,0.3789
